Identifier,total cost_usd
318,not specified
313,not specified
193,not specified
314,not specified
317,not specified
325,not specified
104,not specified
688,not specified
490,not specified
585,not specified
516,not specified
41,not specified
271,not specified
508,not specified
302,not specified
534,not specified
587,not specified
447,not specified
599,not specified
597,not specified
598,not specified
292,not specified
402,not specified
284,not specified
82,not specified
338,not specified
696,not specified
547,not specified
695,not specified
600,not specified
239,not specified
719,not specified
491,not specified
495,not specified
502,not specified
574,not specified
706,not specified
289,not specified
532,not specified
523,not specified
419,not specified
517,not specified
391,not specified
273,not specified
36,not specified
10,not specified
492,not specified
503,not specified
303,not specified
510,not specified
557,not specified
458,not specified
524,not specified
533,not specified
633,not specified
634,not specified
709,not specified
422,not specified
443,not specified
542,not specified
263,not specified
304,not specified
550,not specified
514,not specified
569,not specified
488,not specified
501,not specified
272,not specified
675,not specified
253,not specified
264,not specified
255,not specified
254,not specified
37,not specified
683,not specified
505,not specified
16,not specified
293,not specified
560,not specified
426,not specified
535,not specified
489,not specified
482,not specified
327,not specified
405,not specified
307,not specified
46,not specified
406,not specified
509,not specified
420,not specified
305,not specified
425,not specified
348,not specified
515,not specified
106,not specified
448,not specified
494,not specified
269,not specified
528,not specified
531,not specified
478,not specified
567,not specified
586,not specified
563,not specified
427,not specified
415,not specified
527,not specified
506,not specified
512,not specified
105,not specified
257,not specified
315,not specified
265,not specified
565,not specified
682,not specified
520,not specified
673,not specified
418,not specified
518,not specified
38,not specified
33,35309400000
556,17600000000
511,9777777778
726,571600000
450,443390000
186,410000000
198,400000000
566,399713333
562,350270000
437,346790000
199,240000000
564,222000000
350,188000000
513,180200000
727,165000000
725,132000000
423,125000000
734,110000000
499,101626750
349,100000000
729,86000000
733,86000000
731,86000000
728,86000000
39,85426000
735,58000000
227,57436000
724,54500000
197,45000000
226,45000000
561,41658400
223,40000000
218,40000000
440,37784080
558,36240000
6,36000000
40,35336400
261,33000000
208,30000000
228,30000000
215,30000000
737,30000000
439,28577800
736,27000000
188,26363000
213,22000000
346,21159000
178,20675692
23,18500000
171,17000000
117,16975000
687,16838000
194,16054400
690,15916000
691,15224000
260,14861033
187,14590000
559,13710000
337,12044564
181,12000000
730,11000000
732,10515000
19,10400000
701,10090800
713,8304000
705,8304000
341,7904460
28,7550000
496,7490000
685,7287658
334,7230115
220,6089600
25,6000000
80,5672150
704,5536000
543,5516536
203,5100000
11,5000000
214,5000000
343,5000000
679,4982400
100,4954720
689,4844000
224,4800000
483,4660000
708,4428800
485,4428800
723,4428800
267,4152000
672,4152000
668,4152000
473,4152000
676,4152000
461,4082800
276,3900000
444,3853333
251,3500000
707,3460000
22,3380000
711,3329904
462,3321600
712,3030960
442,3010000
459,3000000
35,3000000
217,2975000
710,2892560
464,2768000
474,2768000
677,2768000
221,2300000
667,2271087
479,2261456
330,2240000
310,2228000
697,2214400
469,2214400
328,2131111
700,2117520
176,2100000
153,2000000
262,2000000
21,1907000
252,1800000
477,1630000
331,1606049
154,1584000
268,1574157
347,1529161
30,1500000
436,1500000
20,1495000
471,1401992
44,1400000
295,1384000
329,1384000
27,1100000
332,1054400
155,1000000
472,835670
500,812733
466,800000
671,624653
43,623936
344,600000
216,588500
238,570160
143,507221
294,500000
604,500000
124,470271
435,466400
484,431600
393,422310
680,415200
169,410864
29,408490
480,400000
698,380000
339,376392
507,346770
400,335950
446,307248
277,300000
369,300000
291,290388
248,276800
326,250000
141,229402
174,216000
99,207600
270,206216
296,200000
421,200000
17,199200
15,192000
381,167000
31,160000
286,130000
340,130000
237,119054
457,116000
470,104000
210,100000
504,100000
192,100000
118,100000
190,99553
151,97850
283,97498
136,95978
545,92855
219,83040
526,77778
135,77040
449,76600
134,75500
132,75000
152,72415
167,70000
14,70000
285,69641
290,69503
476,69435
413,65220
12,65000
108,64580
424,61377
157,60000
191,50000
42,50000
544,50000
460,50000
404,50000
475,50000
7,48000
131,44241
692,41520
236,41177
172,40782
301,40000
133,35100
298,35000
139,30060
250,30000
137,28080
297,28000
233,27680
18,25000
140,23200
288,22241
126,21870
306,20093
299,18000
116,17591
142,15000
693,13840
102,9500
309,6400
519,5311
160,4000
411,1000